Team,Wins,Losses,Home_Wins,Home_Losses,Away_Wins,Away_Losses,ATS_WINS,ATS_Losses,ATS_Ties,ATS_Home_Wins,ATS_Home_Losses,ATS_Home_Ties,ATS_Away_Wins,ATS_Away_Losses,ATS_Away_Ties,OU_Wins,OU_Losses,OU_Ties,OU_Home_Wins,OU_Home_Losses,OU_Home_Ties,OU_Away_Wins,OU_Away_Losses,OU_Away_Ties
Robert Morris,18,8,12,2,6,6,19,6,0,10,3,0,9,3,0,16,9,0,6,7,0,10,2,0
Oregon St,17,8,14,2,1,5,18,7,0,14,2,0,4,5,0,16,9,0,9,7,0,7,2,0
Hou Christian,11,13,7,5,4,8,17,5,0,8,2,0,9,3,0,12,10,0,6,4,0,6,6,0
San Jose St,12,13,6,5,2,7,17,5,1,9,3,0,8,2,1,14,9,0,7,5,0,7,4,0
UCSD,20,4,9,2,8,2,17,5,0,8,3,0,9,2,0,11,10,1,6,5,0,5,5,1
Illinois St,15,10,10,3,4,5,17,7,0,8,5,0,9,2,0,15,9,0,9,4,0,6,5,0
Omaha,16,10,9,2,6,7,17,7,0,6,5,0,11,2,0,13,11,0,6,5,0,7,6,0
Alcorn State,6,17,4,2,2,15,16,5,1,5,1,0,11,4,1,9,13,0,1,5,0,8,8,0
Central Conn,17,6,7,2,10,3,16,5,0,5,2,0,11,3,0,8,13,0,3,4,0,5,9,0
Florida,20,3,11,1,4,2,16,7,0,10,4,0,6,3,0,9,14,0,5,9,0,4,5,0
IPFW,18,8,11,1,6,6,16,8,0,7,5,0,9,3,0,15,9,0,8,4,0,7,5,0
Drexel,13,12,5,6,6,5,16,8,0,7,4,0,9,4,0,10,13,1,6,5,0,4,8,1
Siena,11,13,7,3,3,8,16,8,0,8,4,0,8,4,0,15,9,0,9,3,0,6,6,0
VMI,12,13,7,4,4,8,15,5,1,6,2,0,9,3,1,9,11,1,3,5,0,6,6,1
Nicholls St,15,9,9,3,6,6,15,5,1,4,4,1,11,1,0,10,11,0,3,6,0,7,5,0
Norfolk State,16,8,9,1,5,7,15,6,0,6,2,0,9,4,0,11,10,0,5,3,0,6,7,0
Fairleigh,10,15,6,4,4,11,15,7,0,3,4,0,12,3,0,8,13,1,2,5,0,6,8,1
